lon,lat,ele,time,extensions,event,date,hrminsec
-79.54588810913265,8.93322067335248,47.20000076293945,2016-01-31T12:47:01.000Z,81,Bike,2016-01-31,2016-01-31T12:47:01Z
-79.54582759179175,8.933252776041627,47.20000076293945,2016-01-31T12:47:02.000Z,81,Bike,2016-01-31,2016-01-31T12:47:02Z
-79.54577151685953,8.933289740234613,47.20000076293945,2016-01-31T12:47:03.000Z,84,Bike,2016-01-31,2016-01-31T12:47:03Z
-79.54571384936571,8.933329302817583,47.400001525878906,2016-01-31T12:47:04.000Z,87,Bike,2016-01-31,2016-01-31T12:47:04Z
-79.54565148800611,8.933367524296045,47.599998474121094,2016-01-31T12:47:05.000Z,90,Bike,2016-01-31,2016-01-31T12:47:05Z
-79.54558904282749,8.93341027200222,48,2016-01-31T12:47:06.000Z,92,Bike,2016-01-31,2016-01-31T12:47:06Z
-79.54552584327757,8.93345327116549,48.20000076293945,2016-01-31T12:47:07.000Z,92,Bike,2016-01-31,2016-01-31T12:47:07Z
-79.54546473920345,8.933500126004219,48.599998474121094,2016-01-31T12:47:08.000Z,92,Bike,2016-01-31,2016-01-31T12:47:08Z
-79.54540187492967,8.933545891195536,48.599998474121094,2016-01-31T12:47:09.000Z,0,Bike,2016-01-31,2016-01-31T12:47:09Z
-79.54533808864653,8.933587716892362,48.20000076293945,2016-01-31T12:47:10.000Z,25,Bike,2016-01-31,2016-01-31T12:47:10Z
-79.5452724583447,8.933620741590858,48,2016-01-31T12:47:11.000Z,25,Bike,2016-01-31,2016-01-31T12:47:11Z
-79.54520699568093,8.933648318052292,47.599998474121094,2016-01-31T12:47:12.000Z,25,Bike,2016-01-31,2016-01-31T12:47:12Z
-79.54514404758811,8.933679414913058,47.400001525878906,2016-01-31T12:47:13.000Z,0,Bike,2016-01-31,2016-01-31T12:47:13Z
-79.54509107396007,8.933715038001537,47.599998474121094,2016-01-31T12:47:14.000Z,0,Bike,2016-01-31,2016-01-31T12:47:14Z
-79.54505645669997,8.93376206047833,47.599998474121094,2016-01-31T12:47:15.000Z,0,Bike,2016-01-31,2016-01-31T12:47:15Z
-79.54503667540848,8.933810675516725,47.79999923706055,2016-01-31T12:47:16.000Z,0,Bike,2016-01-31,2016-01-31T12:47:16Z
-79.54503952525556,8.933872450143099,48,2016-01-31T12:47:17.000Z,76,Bike,2016-01-31,2016-01-31T12:47:17Z
-79.5450494159013,8.933940008282661,47.79999923706055,2016-01-31T12:47:18.000Z,81,Bike,2016-01-31,2016-01-31T12:47:18Z
-79.5450631622225,8.934014942497015,47.599998474121094,2016-01-31T12:47:19.000Z,85,Bike,2016-01-31,2016-01-31T12:47:19Z
-79.54507799819112,8.934094402939081,47.20000076293945,2016-01-31T12:47:20.000Z,88,Bike,2016-01-31,2016-01-31T12:47:20Z
-79.54509124159813,8.934176629409194,47.20000076293945,2016-01-31T12:47:21.000Z,88,Bike,2016-01-31,2016-01-31T12:47:21Z
-79.5451049041003,8.934260867536068,47,2016-01-31T12:47:22.000Z,93,Bike,2016-01-31,2016-01-31T12:47:22Z
-79.54511957243085,8.934346865862608,46.79999923706055,2016-01-31T12:47:23.000Z,96,Bike,2016-01-31,2016-01-31T12:47:23Z
-79.54513524658978,8.934434037655592,46.599998474121094,2016-01-31T12:47:24.000Z,99,Bike,2016-01-31,2016-01-31T12:47:24Z
