lon,lat,ele,time,extensions,event,date,hrminsec
-79.54596505500376,8.932507708668709,42.599998474121094,2016-01-31T15:00:13.000Z,0,Run,2016-01-31,2016-01-31T15:00:13Z
-79.54587226733565,8.932339483872056,43,2016-01-31T15:00:19.000Z,0,Run,2016-01-31,2016-01-31T15:00:19Z
-79.54581057652831,8.932255497202277,42.20000076293945,2016-01-31T15:00:22.000Z,0,Run,2016-01-31,2016-01-31T15:00:22Z
-79.54573933035135,8.932172516360879,43.20000076293945,2016-01-31T15:00:25.000Z,90,Run,2016-01-31,2016-01-31T15:00:25Z
-79.54561033286154,8.93203723244369,43.400001525878906,2016-01-31T15:00:29.000Z,91,Run,2016-01-31,2016-01-31T15:00:29Z
-79.54546230845153,8.931882753968239,43.20000076293945,2016-01-31T15:00:34.000Z,90,Run,2016-01-31,2016-01-31T15:00:34Z
-79.54534864984453,8.931736322119832,43,2016-01-31T15:00:39.000Z,90,Run,2016-01-31,2016-01-31T15:00:39Z
-79.54522459767759,8.931587040424347,43,2016-01-31T15:00:44.000Z,89,Run,2016-01-31,2016-01-31T15:00:44Z
-79.54509241506457,8.931437591090798,43.400001525878906,2016-01-31T15:00:49.000Z,91,Run,2016-01-31,2016-01-31T15:00:49Z
-79.54494162462652,8.931280933320522,42.400001525878906,2016-01-31T15:00:54.000Z,90,Run,2016-01-31,2016-01-31T15:00:54Z
-79.54480550251901,8.93112787976861,44,2016-01-31T15:00:59.000Z,87,Run,2016-01-31,2016-01-31T15:00:59Z
-79.54473048448563,8.931031906977296,44.20000076293945,2016-01-31T15:01:02.000Z,88,Run,2016-01-31,2016-01-31T15:01:02Z
-79.54460509121418,8.930882457643747,44.400001525878906,2016-01-31T15:01:07.000Z,87,Run,2016-01-31,2016-01-31T15:01:07Z
-79.54447190277278,8.930735439062119,43.79999923706055,2016-01-31T15:01:12.000Z,87,Run,2016-01-31,2016-01-31T15:01:12Z
-79.54434835352004,8.930600238963962,44,2016-01-31T15:01:17.000Z,87,Run,2016-01-31,2016-01-31T15:01:17Z
-79.54421935603023,8.930447604507208,43.20000076293945,2016-01-31T15:01:22.000Z,87,Run,2016-01-31,2016-01-31T15:01:22Z
-79.54410611651838,8.930281139910221,43.400001525878906,2016-01-31T15:01:27.000Z,87,Run,2016-01-31,2016-01-31T15:01:27Z
-79.54408440738916,8.930247779935598,42.79999923706055,2016-01-31T15:01:28.000Z,87,Run,2016-01-31,2016-01-31T15:01:28Z
-79.54118628054857,8.926481874659657,41,2016-01-31T15:03:31.000Z,87,Run,2016-01-31,2016-01-31T15:03:31Z
-79.54108360223472,8.926327982917428,41.20000076293945,2016-01-31T15:03:36.000Z,86,Run,2016-01-31,2016-01-31T15:03:36Z
-79.54099148511887,8.926202924922109,41,2016-01-31T15:03:40.000Z,86,Run,2016-01-31,2016-01-31T15:03:40Z
-79.54087824560702,8.92605246976018,41,2016-01-31T15:03:45.000Z,86,Run,2016-01-31,2016-01-31T15:03:45Z
-79.54076064750552,8.925900170579553,41,2016-01-31T15:03:50.000Z,86,Run,2016-01-31,2016-01-31T15:03:50Z
-79.54064464196563,8.925751894712448,41.79999923706055,2016-01-31T15:03:55.000Z,86,Run,2016-01-31,2016-01-31T15:03:55Z
-79.54053157009184,8.925600349903107,41.599998474121094,2016-01-31T15:04:00.000Z,86,Run,2016-01-31,2016-01-31T15:04:00Z
-79.54041933640838,8.925450816750526,41.599998474121094,2016-01-31T15:04:05.000Z,86,Run,2016-01-31,2016-01-31T15:04:05Z
-79.54030777327716,8.925302792340517,41.79999923706055,2016-01-31T15:04:10.000Z,86,Run,2016-01-31,2016-01-31T15:04:10Z
-79.54020140692592,8.925148732960224,42,2016-01-31T15:04:15.000Z,86,Run,2016-01-31,2016-01-31T15:04:15Z
-79.54008573666215,8.924999870359898,42,2016-01-31T15:04:20.000Z,86,Run,2016-01-31,2016-01-31T15:04:20Z
-79.53996989876032,8.924847487360239,41.599998474121094,2016-01-31T15:04:25.000Z,86,Run,2016-01-31,2016-01-31T15:04:25Z
-79.53985808417201,8.924702228978276,41.400001525878906,2016-01-31T15:04:30.000Z,86,Run,2016-01-31,2016-01-31T15:04:30Z
-79.53974224627018,8.924549426883459,41.79999923706055,2016-01-31T15:04:35.000Z,85,Run,2016-01-31,2016-01-31T15:04:35Z
