lon,lat,time,extensions,ele,event,date,hrminsec
-79.55484216101468,8.937380025163293,2016-01-31T12:23:37.000Z,45,NA,Swim,2016-01-31,2016-01-31T12:23:37Z
-79.55458961427212,8.93706670962274,2016-01-31T12:24:01.000Z,44,NA,Swim,2016-01-31,2016-01-31T12:24:01Z
-79.55426825210452,8.936925390735269,2016-01-31T12:24:38.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:24:38Z
-79.55389617942274,8.93653605133295,2016-01-31T12:25:16.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:25:16Z
-79.55358680337667,8.936182083562016,2016-01-31T12:25:50.000Z,37,NA,Swim,2016-01-31,2016-01-31T12:25:50Z
-79.55337298102677,8.93585929647088,2016-01-31T12:26:25.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:26:25Z
-79.55295388586819,8.935616305097938,2016-01-31T12:26:57.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:26:57Z
-79.55264182761312,8.935248339548707,2016-01-31T12:27:35.000Z,44,NA,Swim,2016-01-31,2016-01-31T12:27:35Z
-79.55233798362315,8.935047006234527,2016-01-31T12:28:08.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:28:08Z
-79.552056435495615,8.934682058170438,2016-01-31T12:28:45.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:28:45Z
-79.55164555460215,8.934402773156762,2016-01-31T12:29:21.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:29:21Z
-79.55126392655075,8.933984013274312,2016-01-31T12:29:54.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:29:54Z
-79.55097801983356,8.93370539881289,2016-01-31T12:30:28.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:30:28Z
-79.5506321825087,8.933437848463655,2016-01-31T12:31:05.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:31:05Z
-79.5503681525588,8.933109026402235,2016-01-31T12:31:39.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:31:39Z
-79.54999825917184,8.932828400284052,2016-01-31T12:32:12.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:32:12Z
-79.54955561086535,8.932451298460364,2016-01-31T12:32:47.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:32:47Z
-79.5492684468627,8.932220796123147,2016-01-31T12:33:23.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:33:23Z
-79.54897893592715,8.93195073120296,2016-01-31T12:34:02.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:34:02Z
-79.54860996454954,8.931546388193965,2016-01-31T12:34:35.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:34:35Z
-79.54832623712718,8.931289818137884,2016-01-31T12:35:11.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:35:11Z
-79.54796665348113,8.930985555052757,2016-01-31T12:35:47.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:35:47Z
-79.5476240850985,8.930788831785321,2016-01-31T12:36:20.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:36:20Z
-79.54729911871254,8.930351715534925,2016-01-31T12:36:57.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:36:57Z
-79.54688153229654,8.930095732212067,2016-01-31T12:37:31.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:37:31Z
-79.54654483124614,8.929731454700232,2016-01-31T12:38:09.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:38:09Z
-79.5463121496141,8.929502461105585,2016-01-31T12:38:41.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:38:41Z
-79.54590084962547,8.92923105508089,2016-01-31T12:39:20.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:39:20Z
-79.54557596705854,8.92889334820211,2016-01-31T12:39:59.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:39:59Z
-79.54512971453369,8.92866661772132,2016-01-31T12:40:33.000Z,41,NA,Swim,2016-01-31,2016-01-31T12:40:33Z
-79.54468731768429,8.928599981591105,2016-01-31T12:41:07.000Z,42,NA,Swim,2016-01-31,2016-01-31T12:41:07Z
-79.54426512122154,8.928597383201122,2016-01-31T12:41:46.000Z,43,NA,Swim,2016-01-31,2016-01-31T12:41:46Z
-79.54384367913008,8.928520856425166,2016-01-31T12:42:24.000Z,40,NA,Swim,2016-01-31,2016-01-31T12:42:24Z
-79.5433505717665,8.92835984006524,2016-01-31T12:42:58.000Z,40,NA,Swim,2016-01-31,2016-01-31T12:42:58Z
-79.54298646189272,8.928331090137362,2016-01-31T12:43:35.000Z,39,NA,Swim,2016-01-31,2016-01-31T12:43:35Z
-79.5426922570914,8.928376268595457,2016-01-31T12:44:19.000Z,32,NA,Swim,2016-01-31,2016-01-31T12:44:19Z
